diet_type,food_health_preference,taste_preference,preferred_cuisine,allergies,budget_range,location,digestion_preference,user_age,current_weather,meal_time,calorie_preference,suggested_dish
vegan,high protein,savory,Italian,none,medium,suburban,easy,58,sunny,lunch,low,Vegan Pesto Pasta
vegetarian,low carb,sweet,Mexican,gluten,medium,rural,moderate,40,hot,lunch,low,Sweet Corn Pudding
non-vegetarian,low carb,spicy,Thai,soy,medium,rural,heavy,23,rainy,breakfast,low,Red Curry Chicken
vegan,high protein,salty,Thai,soy,high,suburban,heavy,26,sunny,lunch,high,Mixed Veg Bowl
vegetarian,low fat,savory,Thai,soy,medium,rural,easy,61,humid,dinner,high,Mixed Veg Bowl
vegan,high protein,sweet,Indian,nuts,high,suburban,easy,12,rainy,breakfast,high,Mixed Veg Bowl
vegetarian,balanced,spicy,Thai,nuts,high,suburban,easy,48,cold,lunch,high,Green Curry with Veggies
non-vegetarian,balanced,spicy,Indian,none,low,urban,easy,63,rainy,dinner,low,Fish Curry
vegetarian,low carb,savory,Thai,nuts,low,urban,easy,54,cold,breakfast,low,Mixed Veg Bowl
vegetarian,high protein,sweet,Mexican,none,high,urban,heavy,55,hot,lunch,high,Sweet Corn Pudding
vegan,low fat,umami,Italian,nuts,high,suburban,heavy,27,humid,dinner,high,Mushroom Risotto
vegetarian,high protein,salty,Italian,nuts,low,rural,easy,42,rainy,lunch,high,Mixed Veg Bowl
vegan,high protein,spicy,Thai,dairy,medium,rural,easy,20,hot,breakfast,high,Mixed Veg Bowl
vegetarian,balanced,savory,Indian,none,low,rural,heavy,33,humid,dinner,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Mexican,nuts,medium,rural,easy,37,sunny,lunch,moderate,Choco Tacos
non-vegetarian,low fat,savory,Indian,gluten,medium,urban,heavy,48,rainy,lunch,moderate,Mixed Veg Bowl
vegan,low fat,umami,Indian,nuts,medium,urban,moderate,20,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,high protein,umami,Indian,gluten,high,urban,heavy,57,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,high protein,savory,Thai,gluten,low,urban,moderate,23,sunny,dinner,high,Mixed Veg Bowl
vegan,low fat,savory,Italian,soy,high,urban,easy,23,cold,dinner,low,Vegan Pesto Pasta
vegetarian,low fat,savory,Chinese,dairy,high,rural,heavy,38,hot,breakfast,high,Mixed Veg Bowl
non-vegetarian,low fat,salty,Thai,none,low,suburban,moderate,34,rainy,lunch,high,Shrimp Satay
vegan,balanced,umami,Mexican,gluten,high,suburban,heavy,22,humid,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low carb,umami,Italian,none,low,rural,heavy,18,sunny,lunch,moderate,Mixed Veg Bowl
vegetarian,balanced,savory,Mexican,gluten,medium,suburban,easy,21,rainy,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,salty,Chinese,gluten,low,suburban,heavy,46,humid,dinner,moderate,Mixed Veg Bowl
vegan,low fat,sweet,Chinese,soy,high,rural,easy,57,rainy,breakfast,low,Sweet Sesame Tofu
non-vegetarian,low carb,spicy,Italian,soy,medium,urban,easy,26,hot,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,savory,Italian,dairy,medium,suburban,moderate,20,cold,dinner,high,Vegan Pesto Pasta
vegetarian,high protein,umami,Mexican,gluten,high,rural,moderate,31,humid,breakfast,high,Mixed Veg Bowl
vegan,low fat,spicy,Chinese,gluten,low,rural,easy,16,sunny,lunch,moderate,Mixed Veg Bowl
vegan,high protein,savory,Mexican,dairy,high,urban,heavy,56,humid,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Italian,soy,high,urban,heavy,48,hot,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,savory,Italian,nuts,high,suburban,moderate,25,sunny,lunch,moderate,Chicken Lasagna
non-vegetarian,low carb,sweet,Thai,none,low,urban,heavy,46,humid,lunch,moderate,Mixed Veg Bowl
vegan,low carb,spicy,Thai,none,low,suburban,heavy,49,hot,breakfast,low,Mixed Veg Bowl
vegan,low carb,sweet,Indian,none,high,rural,moderate,47,sunny,dinner,high,Mixed Veg Bowl
vegan,low fat,spicy,Mexican,none,low,rural,moderate,11,cold,breakfast,low,Mixed Veg Bowl
vegan,high protein,umami,Chinese,gluten,low,rural,heavy,40,rainy,lunch,low,Mixed Veg Bowl
vegan,balanced,savory,Mexican,none,low,suburban,moderate,68,hot,lunch,high,Mixed Veg Bowl
vegan,balanced,umami,Mexican,soy,medium,rural,heavy,69,hot,dinner,high,Mixed Veg Bowl
vegan,high protein,spicy,Italian,none,medium,rural,moderate,30,rainy,lunch,high,Mixed Veg Bowl
vegan,low carb,sweet,Mexican,dairy,medium,urban,heavy,22,humid,dinner,low,Vegan Churros
vegetarian,balanced,sweet,Italian,nuts,low,rural,easy,51,cold,dinner,low,Mixed Veg Bowl
vegetarian,balanced,umami,Indian,gluten,low,urban,heavy,56,cold,breakfast,moderate,Mixed Veg Bowl
vegetarian,high protein,umami,Thai,dairy,high,rural,moderate,21,cold,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,high protein,sweet,Indian,soy,medium,rural,heavy,20,hot,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,salty,Indian,gluten,low,suburban,easy,51,cold,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low carb,savory,Thai,soy,medium,urban,easy,53,hot,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Thai,soy,medium,urban,heavy,23,sunny,breakfast,high,Red Curry Chicken
vegan,low fat,spicy,Chinese,none,low,suburban,moderate,48,sunny,dinner,moderate,Mixed Veg Bowl
vegetarian,low fat,sweet,Chinese,soy,high,urban,heavy,50,hot,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low fat,salty,Italian,soy,high,urban,moderate,58,humid,lunch,moderate,Seafood Risotto
vegan,low fat,salty,Thai,none,medium,rural,moderate,41,hot,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Chinese,none,medium,urban,moderate,37,hot,breakfast,low,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Mexican,none,low,suburban,easy,48,humid,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,savory,Italian,soy,high,rural,easy,42,sunny,breakfast,moderate,Spaghetti Bolognese
vegan,low fat,savory,Indian,soy,medium,suburban,easy,27,rainy,lunch,high,Mixed Veg Bowl
vegan,high protein,spicy,Indian,gluten,high,suburban,easy,23,cold,lunch,low,Chana Masala
vegan,low fat,savory,Chinese,none,high,rural,heavy,22,sunny,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,high protein,salty,Thai,gluten,low,urban,easy,28,humid,breakfast,low,Salted Fish Fried Rice
vegan,high protein,umami,Thai,nuts,high,rural,moderate,32,cold,lunch,high,Mixed Veg Bowl
vegan,balanced,spicy,Mexican,none,high,suburban,easy,41,rainy,breakfast,high,Mixed Veg Bowl
vegan,balanced,savory,Indian,dairy,high,urban,heavy,36,hot,breakfast,moderate,Mixed Veg Bowl
vegan,low carb,sweet,Chinese,nuts,low,rural,easy,26,cold,breakfast,high,Lychee Stir Fry
non-vegetarian,balanced,sweet,Chinese,dairy,medium,urban,moderate,54,rainy,dinner,low,Mixed Veg Bowl
vegetarian,balanced,umami,Thai,dairy,medium,suburban,moderate,38,cold,dinner,high,Mixed Veg Bowl
vegan,high protein,spicy,Indian,dairy,medium,suburban,easy,14,humid,dinner,moderate,Chana Masala
vegetarian,low carb,spicy,Chinese,none,medium,rural,moderate,44,rainy,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Chinese,none,high,suburban,heavy,22,hot,breakfast,high,Mixed Veg Bowl
vegetarian,balanced,spicy,Thai,gluten,medium,rural,moderate,12,humid,lunch,low,Spicy Thai Noodles
vegan,high protein,spicy,Mexican,none,high,suburban,moderate,38,cold,lunch,moderate,Mixed Veg Bowl
vegetarian,high protein,savory,Indian,dairy,high,rural,easy,45,cold,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,salty,Indian,none,high,suburban,easy,54,rainy,dinner,low,Mixed Veg Bowl
vegetarian,balanced,salty,Chinese,gluten,high,suburban,moderate,61,humid,breakfast,high,Soy Sauce Noodles
vegan,balanced,savory,Thai,dairy,medium,urban,moderate,12,rainy,lunch,low,Mixed Veg Bowl
vegan,balanced,sweet,Chinese,dairy,high,urban,easy,18,humid,dinner,high,Lychee Stir Fry
vegan,low carb,salty,Indian,nuts,high,rural,easy,13,sunny,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,salty,Indian,dairy,low,rural,moderate,58,cold,dinner,low,Mixed Veg Bowl
vegan,low fat,spicy,Italian,gluten,high,urban,heavy,25,rainy,breakfast,low,Mixed Veg Bowl
vegan,balanced,salty,Italian,soy,low,rural,moderate,31,hot,dinner,high,Mixed Veg Bowl
vegan,high protein,umami,Mexican,none,medium,suburban,moderate,25,sunny,dinner,high,Mixed Veg Bowl
vegan,low fat,umami,Mexican,gluten,high,rural,easy,40,cold,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,umami,Italian,dairy,low,rural,moderate,21,humid,lunch,low,Mixed Veg Bowl
vegan,low carb,savory,Chinese,nuts,low,rural,moderate,12,hot,breakfast,low,Mixed Veg Bowl
vegetarian,high protein,umami,Chinese,none,high,rural,easy,23,hot,breakfast,high,Vegetable Manchurian
non-vegetarian,low carb,sweet,Mexican,nuts,medium,suburban,moderate,22,humid,dinner,moderate,Mixed Veg Bowl
vegan,low carb,savory,Italian,nuts,high,rural,heavy,30,humid,breakfast,low,Vegan Pesto Pasta
non-vegetarian,balanced,sweet,Italian,nuts,high,urban,moderate,23,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,high protein,savory,Chinese,soy,medium,urban,easy,58,hot,breakfast,low,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Italian,dairy,high,suburban,heavy,23,humid,dinner,low,Mixed Veg Bowl
vegan,low fat,umami,Mexican,gluten,medium,urban,moderate,30,rainy,breakfast,high,Mixed Veg Bowl
vegan,low fat,savory,Thai,none,low,rural,easy,44,hot,dinner,high,Mixed Veg Bowl
vegetarian,high protein,spicy,Thai,none,low,rural,moderate,49,cold,lunch,moderate,Spicy Thai Noodles
vegan,balanced,sweet,Indian,gluten,high,rural,easy,21,hot,dinner,high,Mixed Veg Bowl
vegetarian,balanced,umami,Italian,soy,low,suburban,easy,26,cold,dinner,moderate,Mixed Veg Bowl
vegan,high protein,umami,Italian,nuts,low,urban,easy,33,humid,lunch,high,Mushroom Risotto
vegan,high protein,sweet,Chinese,dairy,medium,suburban,moderate,10,sunny,lunch,low,Sweet Sesame Tofu
vegan,low carb,umami,Italian,gluten,medium,suburban,easy,58,rainy,dinner,low,Roasted Veggie Lasagna
non-vegetarian,low carb,savory,Mexican,dairy,medium,suburban,moderate,39,rainy,dinner,high,Beef Burrito
vegetarian,low fat,salty,Chinese,none,high,rural,easy,14,cold,dinner,moderate,Cabbage Stir Fry
vegan,low carb,umami,Mexican,gluten,high,urban,heavy,14,humid,lunch,moderate,Mixed Veg Bowl
vegan,low carb,spicy,Mexican,nuts,high,rural,heavy,21,rainy,breakfast,high,Mixed Veg Bowl
vegetarian,balanced,savory,Thai,gluten,high,urban,moderate,10,sunny,dinner,low,Mixed Veg Bowl
non-vegetarian,balanced,savory,Chinese,dairy,low,suburban,heavy,46,cold,lunch,high,Mixed Veg Bowl
vegetarian,high protein,salty,Chinese,soy,high,rural,heavy,17,humid,dinner,moderate,Soy Sauce Noodles
vegan,low fat,umami,Mexican,nuts,high,suburban,moderate,32,hot,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,salty,Chinese,gluten,low,rural,moderate,23,humid,breakfast,high,Garlic Bok Choy
non-vegetarian,low carb,umami,Mexican,dairy,high,urban,moderate,25,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,spicy,Thai,soy,medium,suburban,easy,10,sunny,breakfast,high,Spicy Thai Noodles
non-vegetarian,high protein,spicy,Mexican,soy,high,rural,heavy,52,cold,lunch,low,Hot Salsa Burrito
vegan,low fat,sweet,Mexican,dairy,low,suburban,easy,33,humid,lunch,moderate,Vegan Churros
vegetarian,low fat,umami,Thai,none,low,urban,heavy,25,humid,dinner,moderate,Mixed Veg Bowl
non-vegetarian,balanced,savory,Italian,none,low,urban,easy,52,rainy,breakfast,low,Spaghetti Bolognese
vegetarian,low fat,umami,Indian,nuts,low,rural,moderate,67,humid,lunch,moderate,Mixed Veg Bowl
vegan,high protein,spicy,Chinese,dairy,high,rural,moderate,50,hot,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,sweet,Thai,none,high,suburban,easy,53,rainy,dinner,high,Mixed Veg Bowl
non-vegetarian,low fat,sweet,Mexican,soy,high,rural,heavy,18,hot,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,spicy,Mexican,nuts,low,urban,moderate,58,rainy,dinner,high,Vegetarian Tacos
non-vegetarian,low carb,spicy,Chinese,nuts,low,rural,easy,10,hot,dinner,low,Mixed Veg Bowl
vegetarian,low carb,spicy,Thai,nuts,high,suburban,heavy,19,humid,lunch,low,Spicy Thai Noodles
non-vegetarian,balanced,sweet,Chinese,none,medium,urban,heavy,21,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,umami,Indian,none,medium,suburban,heavy,56,rainy,dinner,moderate,Mixed Veg Bowl
non-vegetarian,low carb,salty,Chinese,gluten,medium,rural,easy,14,rainy,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,savory,Thai,dairy,high,urban,moderate,42,hot,dinner,low,Mixed Veg Bowl
vegetarian,low fat,savory,Mexican,soy,medium,suburban,heavy,50,cold,lunch,low,Mixed Veg Bowl
vegan,low carb,spicy,Chinese,nuts,high,urban,heavy,13,sunny,dinner,high,Mixed Veg Bowl
vegetarian,low fat,salty,Thai,soy,high,suburban,heavy,15,humid,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,low fat,umami,Chinese,soy,medium,urban,moderate,47,sunny,dinner,high,Kung Pao Chicken
non-vegetarian,low fat,sweet,Mexican,soy,medium,urban,heavy,24,rainy,lunch,low,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Indian,nuts,medium,rural,heavy,34,sunny,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,spicy,Chinese,none,low,rural,easy,59,sunny,dinner,low,Mixed Veg Bowl
vegetarian,balanced,salty,Chinese,nuts,low,rural,heavy,12,sunny,lunch,moderate,Soy Sauce Noodles
non-vegetarian,low fat,spicy,Chinese,soy,medium,rural,heavy,10,rainy,breakfast,high,Mixed Veg Bowl
vegan,low fat,salty,Indian,gluten,medium,rural,moderate,15,hot,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Chinese,soy,medium,suburban,heavy,49,sunny,dinner,low,Mixed Veg Bowl
vegan,low carb,savory,Mexican,dairy,high,suburban,heavy,63,humid,dinner,low,Mixed Veg Bowl
vegetarian,balanced,umami,Italian,dairy,low,rural,moderate,25,humid,dinner,high,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Italian,soy,high,urban,easy,54,rainy,breakfast,high,Mixed Veg Bowl
vegan,low fat,spicy,Thai,dairy,low,urban,easy,53,hot,lunch,moderate,Mixed Veg Bowl
vegan,balanced,spicy,Indian,none,low,rural,moderate,30,sunny,lunch,low,Chana Masala
vegetarian,low carb,spicy,Mexican,gluten,high,rural,heavy,24,sunny,lunch,high,Vegetarian Tacos
vegetarian,high protein,sweet,Mexican,none,low,urban,easy,61,rainy,breakfast,high,Choco Tacos
non-vegetarian,balanced,umami,Italian,dairy,medium,urban,heavy,44,rainy,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,spicy,Italian,soy,medium,rural,heavy,16,humid,dinner,low,Mixed Veg Bowl
vegan,balanced,salty,Mexican,soy,medium,suburban,moderate,45,hot,breakfast,low,Mixed Veg Bowl
vegetarian,low carb,sweet,Indian,none,medium,suburban,moderate,18,humid,lunch,high,Kesari Bath
vegetarian,high protein,spicy,Italian,none,high,urban,heavy,22,humid,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Italian,dairy,low,suburban,moderate,14,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,sweet,Italian,nuts,high,rural,easy,53,rainy,dinner,high,Mixed Veg Bowl
vegetarian,low fat,salty,Mexican,gluten,medium,rural,moderate,11,hot,lunch,moderate,Mixed Veg Bowl
vegan,high protein,umami,Chinese,nuts,low,rural,moderate,15,hot,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,umami,Thai,nuts,low,urban,easy,68,cold,lunch,high,Mixed Veg Bowl
vegetarian,low carb,savory,Indian,dairy,medium,urban,heavy,64,hot,dinner,high,Mixed Veg Bowl
vegetarian,high protein,sweet,Indian,gluten,medium,suburban,heavy,35,cold,dinner,moderate,Kesari Bath
non-vegetarian,low fat,sweet,Chinese,gluten,low,rural,heavy,15,rainy,breakfast,high,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Chinese,none,low,urban,moderate,10,hot,dinner,moderate,Mixed Veg Bowl
non-vegetarian,high protein,umami,Thai,soy,low,rural,heavy,51,cold,breakfast,low,Mixed Veg Bowl
vegan,balanced,salty,Mexican,dairy,high,suburban,moderate,45,sunny,dinner,low,Mixed Veg Bowl
vegan,low carb,savory,Thai,soy,low,suburban,heavy,27,rainy,lunch,high,Mixed Veg Bowl
vegetarian,low carb,salty,Thai,dairy,high,rural,moderate,26,rainy,dinner,high,Mixed Veg Bowl
vegan,high protein,umami,Thai,none,low,urban,easy,58,sunny,dinner,moderate,Mixed Veg Bowl
vegan,low carb,sweet,Indian,none,high,urban,heavy,16,cold,lunch,low,Mixed Veg Bowl
vegan,balanced,spicy,Indian,none,high,suburban,heavy,11,hot,lunch,low,Chana Masala
vegetarian,balanced,umami,Italian,none,high,suburban,easy,27,hot,dinner,moderate,Mixed Veg Bowl
vegetarian,low carb,salty,Indian,nuts,high,suburban,easy,19,cold,breakfast,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Chinese,soy,medium,suburban,easy,41,cold,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Chinese,none,low,urban,moderate,69,rainy,dinner,high,Mixed Veg Bowl
non-vegetarian,low fat,salty,Chinese,soy,low,rural,heavy,65,humid,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,spicy,Italian,none,medium,suburban,moderate,44,humid,breakfast,moderate,Mixed Veg Bowl
vegetarian,low fat,spicy,Chinese,gluten,low,rural,easy,61,sunny,breakfast,high,Mixed Veg Bowl
vegetarian,low fat,umami,Chinese,dairy,high,rural,heavy,37,sunny,lunch,high,Paneer Chili Dry
non-vegetarian,balanced,sweet,Thai,nuts,low,urban,easy,20,humid,lunch,high,Mixed Veg Bowl
vegetarian,low carb,sweet,Chinese,none,medium,urban,heavy,60,sunny,dinner,high,Mixed Veg Bowl
vegan,balanced,salty,Indian,dairy,low,urban,easy,66,cold,dinner,moderate,Mixed Veg Bowl
vegetarian,high protein,umami,Chinese,nuts,high,rural,easy,56,hot,breakfast,high,Vegetable Manchurian
non-vegetarian,low fat,savory,Mexican,none,low,rural,moderate,67,sunny,lunch,low,Chicken Quesadilla
vegan,balanced,spicy,Mexican,soy,high,rural,easy,60,sunny,lunch,moderate,Mixed Veg Bowl
vegan,low carb,spicy,Chinese,none,high,urban,easy,53,sunny,dinner,low,Mixed Veg Bowl
non-vegetarian,low fat,salty,Chinese,none,high,rural,heavy,64,hot,breakfast,low,Mixed Veg Bowl
vegan,low fat,salty,Thai,nuts,high,suburban,moderate,61,sunny,lunch,moderate,Mixed Veg Bowl
vegetarian,balanced,salty,Indian,none,medium,urban,heavy,40,cold,lunch,low,Mixed Veg Bowl
non-vegetarian,low carb,salty,Mexican,soy,high,suburban,easy,50,rainy,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,sweet,Chinese,gluten,medium,rural,heavy,19,hot,lunch,moderate,Mixed Veg Bowl
vegan,low fat,spicy,Italian,gluten,low,rural,moderate,18,cold,dinner,moderate,Mixed Veg Bowl
vegan,balanced,savory,Chinese,soy,medium,rural,moderate,63,humid,lunch,moderate,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Indian,dairy,low,rural,moderate,22,cold,lunch,high,Fish Curry
vegan,high protein,umami,Chinese,gluten,medium,suburban,heavy,23,rainy,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,sweet,Chinese,gluten,high,suburban,moderate,56,cold,dinner,low,Mixed Veg Bowl
vegan,balanced,spicy,Indian,dairy,medium,rural,heavy,33,rainy,breakfast,high,Baingan Bharta
vegan,high protein,umami,Indian,none,low,rural,moderate,67,cold,dinner,high,Mixed Veg Bowl
vegan,low carb,umami,Mexican,soy,medium,suburban,moderate,15,humid,lunch,high,Mixed Veg Bowl
vegetarian,high protein,umami,Indian,nuts,high,suburban,moderate,17,rainy,dinner,low,Mixed Veg Bowl
vegetarian,high protein,savory,Thai,soy,high,urban,heavy,28,humid,breakfast,low,Mixed Veg Bowl
vegan,high protein,savory,Italian,none,medium,rural,heavy,23,sunny,lunch,low,Grilled Eggplant Parmesan
vegetarian,low carb,salty,Mexican,nuts,high,urban,moderate,52,hot,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,sweet,Mexican,gluten,high,rural,heavy,20,rainy,lunch,high,Sweet Potato Tacos
vegan,high protein,sweet,Indian,nuts,low,rural,moderate,22,humid,breakfast,moderate,Mixed Veg Bowl
vegan,balanced,savory,Mexican,nuts,medium,urban,moderate,36,cold,lunch,high,Mixed Veg Bowl
vegan,high protein,sweet,Chinese,nuts,high,rural,heavy,62,sunny,breakfast,moderate,Sweet Sesame Tofu
non-vegetarian,low carb,sweet,Italian,gluten,medium,suburban,easy,13,cold,dinner,low,Mixed Veg Bowl
vegetarian,low carb,salty,Mexican,dairy,low,suburban,heavy,24,rainy,lunch,high,Mixed Veg Bowl
non-vegetarian,low carb,salty,Italian,none,high,suburban,heavy,31,humid,dinner,low,Seafood Risotto
vegetarian,high protein,sweet,Chinese,dairy,medium,suburban,heavy,17,sunny,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,spicy,Chinese,none,medium,urban,heavy,65,hot,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,sweet,Chinese,none,high,urban,easy,31,cold,breakfast,moderate,Sweet Sesame Tofu
non-vegetarian,balanced,sweet,Chinese,none,medium,rural,heavy,63,humid,breakfast,low,Mixed Veg Bowl
non-vegetarian,high protein,savory,Mexican,gluten,medium,rural,moderate,37,hot,breakfast,low,Chicken Quesadilla
non-vegetarian,low fat,umami,Mexican,nuts,medium,rural,heavy,56,hot,lunch,moderate,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Mexican,dairy,medium,suburban,moderate,38,hot,breakfast,low,Hot Salsa Burrito
vegetarian,balanced,savory,Thai,soy,medium,suburban,easy,62,rainy,breakfast,low,Mixed Veg Bowl
non-vegetarian,balanced,umami,Thai,nuts,medium,rural,heavy,46,sunny,breakfast,low,Mixed Veg Bowl
vegetarian,low fat,savory,Chinese,soy,medium,rural,easy,18,sunny,dinner,low,Mixed Veg Bowl
non-vegetarian,low carb,savory,Italian,dairy,medium,rural,easy,27,rainy,dinner,low,Spaghetti Bolognese
non-vegetarian,low carb,umami,Chinese,none,high,suburban,heavy,35,sunny,lunch,high,Kung Pao Chicken
non-vegetarian,low fat,umami,Indian,nuts,medium,rural,easy,30,rainy,lunch,low,Mixed Veg Bowl
non-vegetarian,low fat,umami,Chinese,none,high,rural,moderate,64,cold,lunch,high,Sweet and Sour Pork
vegetarian,low carb,salty,Mexican,nuts,high,urban,easy,22,hot,dinner,moderate,Mixed Veg Bowl
vegan,low carb,umami,Italian,none,high,rural,heavy,56,sunny,dinner,moderate,Mushroom Risotto
vegetarian,high protein,savory,Italian,dairy,medium,urban,moderate,14,humid,breakfast,high,Margherita Pizza
vegan,high protein,salty,Mexican,gluten,high,rural,heavy,54,cold,lunch,high,Mixed Veg Bowl
non-vegetarian,high protein,savory,Indian,dairy,low,rural,heavy,58,hot,dinner,high,Mixed Veg Bowl
non-vegetarian,low carb,spicy,Chinese,soy,high,urban,heavy,14,humid,lunch,high,Mixed Veg Bowl
vegan,balanced,spicy,Italian,dairy,medium,rural,easy,50,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,spicy,Chinese,dairy,high,urban,heavy,60,rainy,dinner,moderate,Mixed Veg Bowl
vegan,balanced,salty,Indian,gluten,medium,urban,moderate,67,rainy,lunch,low,Mixed Veg Bowl
vegetarian,low fat,umami,Mexican,none,low,suburban,moderate,28,rainy,lunch,high,Mixed Veg Bowl
vegetarian,balanced,sweet,Mexican,soy,medium,urban,moderate,14,hot,breakfast,moderate,Sweet Corn Pudding
non-vegetarian,low fat,umami,Chinese,gluten,low,urban,moderate,52,hot,lunch,high,Kung Pao Chicken
non-vegetarian,high protein,salty,Indian,none,low,urban,easy,43,sunny,breakfast,moderate,Mixed Veg Bowl
vegan,low fat,sweet,Indian,nuts,high,suburban,easy,61,hot,dinner,low,Mixed Veg Bowl
vegan,low fat,savory,Italian,nuts,high,rural,moderate,38,hot,dinner,low,Grilled Eggplant Parmesan
vegan,low fat,savory,Italian,soy,high,suburban,heavy,44,hot,breakfast,low,Vegan Pesto Pasta
vegan,low fat,savory,Italian,none,high,urban,easy,24,cold,dinner,high,Grilled Eggplant Parmesan
vegetarian,low fat,sweet,Mexican,dairy,high,suburban,moderate,23,humid,breakfast,high,Choco Tacos
vegan,high protein,salty,Indian,none,high,suburban,easy,63,sunny,dinner,low,Mixed Veg Bowl
vegetarian,low fat,umami,Indian,dairy,medium,urban,heavy,38,rainy,dinner,high,Mixed Veg Bowl
vegan,low fat,sweet,Thai,none,high,rural,moderate,34,sunny,lunch,low,Vegan Pad Thai
vegetarian,high protein,sweet,Indian,gluten,low,suburban,heavy,39,sunny,breakfast,high,Gulab Jamun
vegan,balanced,salty,Italian,gluten,high,suburban,moderate,48,sunny,lunch,low,Mixed Veg Bowl
vegetarian,low fat,savory,Thai,nuts,low,suburban,heavy,54,rainy,lunch,moderate,Mixed Veg Bowl
vegan,low carb,umami,Mexican,none,low,suburban,heavy,34,humid,lunch,high,Mixed Veg Bowl
vegan,balanced,savory,Indian,soy,high,rural,moderate,62,humid,lunch,low,Mixed Veg Bowl
non-vegetarian,high protein,salty,Indian,dairy,medium,urban,moderate,59,sunny,lunch,low,Mixed Veg Bowl
vegetarian,low fat,umami,Chinese,none,high,urban,heavy,20,rainy,dinner,moderate,Paneer Chili Dry
vegan,balanced,salty,Italian,nuts,low,suburban,heavy,51,sunny,lunch,high,Mixed Veg Bowl
vegan,high protein,sweet,Mexican,dairy,low,rural,heavy,54,cold,lunch,high,Sweet Potato Tacos
non-vegetarian,balanced,spicy,Chinese,gluten,medium,urban,heavy,12,hot,dinner,low,Mixed Veg Bowl
non-vegetarian,high protein,salty,Chinese,dairy,low,suburban,easy,21,cold,lunch,high,Mixed Veg Bowl
vegetarian,high protein,savory,Chinese,soy,low,suburban,heavy,17,cold,breakfast,moderate,Mixed Veg Bowl
non-vegetarian,balanced,spicy,Mexican,gluten,high,rural,easy,21,rainy,lunch,moderate,Hot Salsa Burrito
vegan,low carb,savory,Italian,nuts,low,suburban,heavy,35,sunny,lunch,low,Vegan Pesto Pasta
vegetarian,high protein,salty,Chinese,soy,high,suburban,easy,41,hot,lunch,moderate,Soy Sauce Noodles
vegan,high protein,umami,Italian,soy,low,urban,heavy,55,hot,dinner,moderate,Mushroom Risotto
vegetarian,balanced,spicy,Chinese,soy,medium,suburban,easy,13,hot,breakfast,moderate,Mixed Veg Bowl
vegetarian,balanced,savory,Mexican,dairy,low,rural,easy,16,rainy,dinner,moderate,Mixed Veg Bowl
